"","user_id","created_at","followers_count","following_count","tweets_count","sensitive_tweets_count","retweets_average","mentions_average","sentiment_average","retweeted_sentiment_average","user_coef","poli_affil","poli_rating"
"118",7672842,2007,2789,4973,25155,0,925.38,1.13,-0.053701,NA,0.646971435826146,"left",1
"119",7709912,2007,8855,4283,9343,0,292.89,0.55,0.183538,NA,1.3341988721037,"left",0.866666666666667
"120",7730052,2007,6132,1905,87104,0,645.12,0.48,0.103661,-0.157607692307692,1.49739998413781,"left",0.285714285714286
"121",7804342,2007,4482,1779,100714,0,1399.75,1.14,-0.01595,NA,1.34691037050408,"left",0.875
"122",7848802,2007,75841,17039,172700,0,1518.26,0.88,0.033635,NA,1.42949879153968,"left",0.928571428571429
"123",7950832,2007,22880,17938,116901,0,1447.37,1.19,-0.034767,NA,2.00129830815555,"left",0.785714285714286
"124",7970962,2007,2298,2206,58262,0,783.665625,1.06875,-0.01074075,NA,2.13906884386191,"right",1.6
"125",8006742,2007,21375,1355,7267,0,675.23375,1.076875,0.0594769375,NA,-0.630145006860487,"right",1.85714285714286
"126",8029222,2007,1177,1462,10829,1,3049.97896039604,0.956270627062706,0.0223488448844885,NA,0.624952528746942,"right",1.77777777777778
"127",8036392,2007,103555,495,52308,0,19.91,1.35,0.090341,NA,0,"left",1
"128",8039552,2007,528,746,391041,0,743.37,1.13,0.045341,NA,0.670764817568617,"left",1
"129",8062702,2007,8888,9757,209006,1,102.799375,0.5384375,0.18152790625,NA,1.21999434908395,"right",1.66666666666667
"130",8083542,2007,1249,2925,128749,0,1174.9,0.88,-0.173609,-0.103615517241379,-0.566144248009796,"left",1.08108108108108
"131",8162322,2007,12525,8591,41275,0,523.4784375,1.2775,0.08834021875,NA,0.60290059117612,"right",1.84615384615385
"132",8200352,2007,26643,27081,110788,0,31.99,0.47,-0.01087,NA,2.50162288519443,"left",0.727272727272727
"133",8401332,2007,3297,2350,72259,0,201.58,1,0.064194,NA,0.868557933122922,"left",0.875
"134",8404572,2007,2759,899,79364,0,96.37,0.95,0.070119,NA,1.9604514406769,"left",0.761904761904762
"135",8558562,2007,2247,1741,31322,0,1176.78,1.39,0.309728,NA,1.63619002874434,"left",0.833333333333333
"136",8694322,2007,171,865,9644,0,338.12,0.49,0.056017,NA,2.0676678949056,"left",0.85
"137",8754802,2007,1339,1266,74117,1,686.809493469258,1.25645109907614,-0.0441965275565467,NA,0.0057827621016976,"right",1.75
"138",8790772,2007,12346,1870,1461,0,138.56,1.18,0.111142,NA,0.500324577038887,"left",1
"139",8813602,2007,10735,4601,194330,0,464.49,1.09,0.199309,0.233289473684211,0.577297588891023,"left",1
"140",8859482,2007,8029,8098,35919,0,428.58,0.94,0.13182,NA,2.50162288519443,"left",0.166666666666667
"141",8870632,2007,22825,15502,99906,0,1562.16,1.04,0.029608,NA,-0.756501505081556,"left",1.15384615384615
"142",8953122,2007,665791,7786,63372,0,12.98,0.09,-0.078913,NA,2.50162288519443,"left",0.941176470588235
"143",9075622,2007,17137,1764,610,0,600.75,0.75,0.102492,NA,1.56351430324652,"left",0.818181818181818
"144",9118502,2007,3375,3782,42608,0,691.87,0.23,-0.096726,NA,2.50162288519443,"left",0.7
"145",9179432,2007,4651,355,69194,0,2.1,0.88,0.00991,NA,1.51824860111412,"left",0.833333333333333
"146",9212842,2007,540,726,22980,0,2607.82,1,0.028092,NA,-0.227420262290403,"left",1.5
"147",9451342,2007,6835,2802,39798,0,904.3446875,0.89875,-0.00052078125,NA,0.419464039335632,"right",1.78571428571429
"148",9485202,2007,1702,79,71771,0,349.71,0.32,0.157291,NA,2.50162288519443,"left",0.928571428571429
"149",9508922,2007,190439,7740,12249,0,1245.6840625,1.2315625,-0.05615053125,NA,0.264419452719828,"right",1.75
"150",9547482,2007,6791,693,32882,0,683.72,1.39,0.04661,NA,1.12450914351209,"left",0.875
"151",9643782,2007,274,1594,41323,0,3337.83,1.13,0.036989,NA,0.572890737067427,"left",1
"152",9647442,2007,1339,1654,23136,0,645.23,0.79,0.19247,NA,0.146955238086784,"left",1.125
"153",9709892,2007,560,1406,40026,0,342.84,4.68,0.068199,0.0178210526315789,0.0087387851136275,"left",0.78125
"154",9717222,2007,13090,9642,138180,0,213.89,0.53,-0.195796,NA,-0.317475366153573,"left",1.22222222222222
"155",9726032,2007,1281,4988,132868,0,330.83,0.46,-0.02476,NA,1.30971885417087,"left",0.486486486486487
"156",9729112,2007,860,3991,572438,0,751.7959375,1.6353125,0.0637870625,NA,0.529478110526138,"right",1.41935483870968
"157",9810802,2007,439,231,13150,0,68.24,0.91,0.118862,NA,0,"left",1
"158",9864112,2007,4879,2120,47153,0,16.7,0.45,0.112171,NA,0.625405721298608,"left",1
"159",9876672,2007,1222,2290,55274,0,1239.59541255177,0.957629818413507,0.0157589359668684,NA,0.791597451433903,"right",1.6
"160",9904052,2007,541,5001,84,0,362.042253521127,1.56338028169014,-0.0305323943661972,NA,2.04614532906659,"left",0.8
"161",9909682,2007,477,1083,9698,0,3563.4,0.94,-0.020044,0.028862,-0.562280082270437,"left",1.4
"162",9913772,2007,577,543,23681,0,101.8,0.49,0.080683,0.0425809523809524,2.38709937685935,"left",0.5
"163",9948722,2007,1362,266,39558,0,1166.41,1.64,0.02624,NA,1.57805862234649,"left",0.222222222222222
"164",9952662,2007,123,178,11438,0,1330.7501616031,0.790885585003232,0.00087207498383969,NA,-0.0082142841006383,"right",1.875
"165",9954032,2007,3448,672,59781,0,251.03,0.67,0.124171,NA,0.277958098354937,"left",1
"166",10085872,2007,14344,10098,94797,0,293.41,1.16,-0.001188,0.00745529411764706,-1.2164213164973,"left",1.21739130434783
"167",10169852,2007,1572,4925,42041,0,3573.54,1.19,0.104027,NA,1.81464600993471,"left",0.625
"168",10245552,2007,18055,19451,165585,1,1525.34625,0.569375,0.0323739375,NA,-0.623502688675016,"right",1.875
"169",10378382,2007,24688,4727,10187,0,6.41,0.94,0.491937,NA,0.833874295064811,"left",1.2
